,0
0,Doris sees twelve red toys_1.mp4
1,Allen bought nineteen small chairs_1.mp4
2,Kathy ordered three cheap spoons_1.mp4
3,Steven sold nine pretty windows_1.mp4
4,Lucy gives eight white desks_1.mp4
5,Thomas sees seven green houses_1.mp4
6,Allen prefers four small flowers_1.mp4
7,Peter got fifteen cheap rings_1.mp4
8,Peter ordered four red toys_1.mp4
9,Steven has four heavy chairs_1.mp4
10,Kathy wants eight dark flowers_1.mp4
11,William prefers sixty small sofas_1.mp4
12,Allen bought seven pretty tables_1.mp4
13,Peter got seven white tables_1.mp4
14,Kathy has fifteen heavy desks_1.mp4
15,Allen sees nine large chairs_1.mp4
16,William gives nineteen small sofas_1.mp4
17,Steven prefers seven pretty sofas_1.mp4
18,Lucy got fifteen cheap chairs_1.mp4
19,Lucy gives eight cheap toys_1.mp4
20,Peter gives fifteen small spoons_1.mp4
21,William ordered sixty cheap toys_1.mp4
22,Lucy kept two green chairs_1.mp4
23,Doris got seven old windows_1.mp4
24,Rachel got eight small spoons_1.mp4
25,Peter got seven white tables_1.mp4
26,Lucy bought twelve green desks_1.mp4
27,Steven has four heavy chairs_1.mp4
28,Allen has nineteen large spoons_1.mp4
29,Doris sees twelve red toys_1.mp4
30,Nina sold four heavy rings_1.mp4
31,Peter got seven white tables_1.mp4
32,Lucy has nineteen white chairs_1.mp4
33,Rachel kept eight large sofas_1.mp4
34,Peter ordered eight heavy desks_1.mp4
35,Peter sees sixty old sofas_1.mp4
36,William prefers sixty small sofas_1.mp4
37,Rachel has twelve old tables_1.mp4
38,Kathy sold nineteen old sofas_1.mp4
39,Steven got twelve pretty windows_1.mp4
40,Allen prefers two old desks_1.mp4
41,Allen sold seven old spoons_1.mp4
42,Nina got twelve white toys_1.mp4
43,Thomas sees fifteen cheap windows_1.mp4
44,Thomas got nine pretty sofas_1.mp4
45,Allen prefers four heavy flowers_1.mp4
46,Kathy prefers sixty cheap desks_1.mp4
47,William wants three pretty desks_1.mp4
