,0
0,William has sixty white chairs_1.mp4
1,Thomas got twelve small toys_1.mp4
2,Steven prefers three pretty desks_1.mp4
3,Kathy wants eight dark flowers_1.mp4
4,Doris ordered nineteen white toys_1.mp4
5,William bought two green spoons_1.mp4
6,Allen kept three heavy desks_1.mp4
7,Peter gives twelve small desks_1.mp4
8,Steven sold eight cheap houses_1.mp4
9,Thomas bought three large rings_1.mp4
10,Steven kept fifteen small sofas_1.mp4
11,Peter got three green desks_1.mp4
12,Lucy sold twelve cheap spoons_1.mp4
13,Kathy got three old flowers_1.mp4
14,William wants three pretty desks_1.mp4
15,Thomas has four pretty rings_1.mp4
16,Peter got four pretty houses_1.mp4
17,Thomas wants three old flowers_1.mp4
18,Steven prefers seven pretty sofas_1.mp4
19,Rachel gives eight dark spoons_1.mp4
20,William kept nine small windows_1.mp4
21,Kathy sold twelve green chairs_1.mp4
22,Lucy has nineteen dark desks_1.mp4
23,William bought four red tables_1.mp4
24,Allen wants three pretty chairs_1.mp4
25,Peter got eight white windows_1.mp4
26,Kathy ordered three dark desks_1.mp4
27,Peter gives fifteen large tables_1.mp4
28,Allen wants nineteen white desks_1.mp4
29,Rachel wants twelve white flowers_1.mp4
30,Peter got sixty red spoons_1.mp4
31,Thomas ordered nine heavy sofas_1.mp4
32,Allen got sixty cheap toys_1.mp4
33,Thomas gives three white windows_1.mp4
34,William bought four red tables_1.mp4
35,Allen sees four dark toys_1.mp4
36,Nina sold fifteen large desks_1.mp4
37,William bought two heavy windows_1.mp4
38,Peter gives sixty pretty rings_1.mp4
39,Steven prefers fifteen red spoons_1.mp4
40,Steven sold twelve large desks_1.mp4
41,Nina ordered nine heavy tables_1.mp4
42,Rachel wants fifteen red windows_1.mp4
43,Lucy has four white chairs_1.mp4
44,Allen kept three heavy desks_1.mp4
45,Nina sold nineteen dark windows_1.mp4
46,Thomas got twelve small toys_1.mp4
47,Rachel bought two large desks_1.mp4
