,0
0,Doris got eight heavy spoons_1.mp4
1,Allen sold nine heavy tables_1.mp4
2,William ordered three old desks_1.mp4
3,William ordered twelve cheap rings_1.mp4
4,Peter sold eight large sofas_1.mp4
5,William ordered sixty cheap toys_1.mp4
6,Peter has seven white flowers_1.mp4
7,Peter got fifteen heavy tables_1.mp4
8,Steven ordered twelve dark sofas_1.mp4
9,Rachel sees three large spoons_1.mp4
10,Doris sees three old desks_1.mp4
11,Rachel ordered four pretty spoons_1.mp4
12,Thomas ordered fifteen red houses_1.mp4
13,Allen ordered twelve heavy rings_1.mp4
14,Peter got twelve old rings_1.mp4
15,Rachel prefers twelve red desks_1.mp4
16,Steven sees four dark spoons_1.mp4
17,Thomas got eight large windows_1.mp4
18,Peter wants nine large toys_1.mp4
19,Steven prefers seven pretty sofas_1.mp4
20,William kept nine large rings_1.mp4
21,Rachel gives fifteen small desks_1.mp4
22,Rachel got eight small spoons_1.mp4
23,Nina sold twelve old windows_1.mp4
24,Rachel kept sixty large desks_1.mp4
25,Lucy has nineteen dark desks_1.mp4
26,William ordered four heavy windows_1.mp4
27,Thomas bought sixty white spoons_1.mp4
28,Kathy kept eight heavy desks_1.mp4
29,Peter has seven pretty desks_1.mp4
30,Allen has nineteen large spoons_1.mp4
31,Thomas sees eight green rings_1.mp4
32,Peter got twelve large windows_1.mp4
33,Peter bought nineteen cheap houses_1.mp4
34,Allen bought nineteen large chairs_1.mp4
35,Doris bought eight cheap houses_1.mp4
36,Allen sees nine large chairs_1.mp4
37,Steven got seven green flowers_1.mp4
38,Peter ordered twelve red windows_1.mp4
39,Nina sold fifteen large desks_1.mp4
40,Rachel prefers three pretty spoons_1.mp4
41,Doris has sixty dark spoons_1.mp4
42,Steven bought nine green desks_1.mp4
43,Nina got twelve white toys_1.mp4
44,Doris prefers three large desks_1.mp4
45,Peter got nineteen heavy windows_1.mp4
46,Thomas has three large desks_1.mp4
47,William ordered three old desks_1.mp4
