,0
0,Peter wants nine large toys_1.mp4
1,Nina sold fifteen old flowers_1.mp4
2,Steven sees four dark spoons_1.mp4
3,Rachel kept eight large sofas_1.mp4
4,Rachel got eight small spoons_1.mp4
5,Lucy got three green spoons_1.mp4
6,Nina sold twelve old windows_1.mp4
7,Thomas has sixty dark houses_1.mp4
8,Doris kept seven large sofas_1.mp4
9,Steven ordered fifteen white spoons_1.mp4
10,Peter has fifteen green rings_1.mp4
11,Rachel kept nine dark desks_1.mp4
12,Nina prefers four red windows_1.mp4
13,Doris wants eight old tables_1.mp4
14,Peter sees sixty large spoons_1.mp4
15,Doris ordered twelve old flowers_1.mp4
16,Kathy wants fifteen cheap desks_1.mp4
17,Thomas gives three small houses_1.mp4
18,Thomas got seven large desks_1.mp4
19,Steven kept nine small spoons_1.mp4
20,William sees sixty cheap chairs_1.mp4
21,Kathy wants sixty old toys_1.mp4
22,Thomas got nineteen heavy desks_1.mp4
23,Kathy ordered three cheap spoons_1.mp4
24,Peter sold sixty white desks_1.mp4
25,William ordered nineteen old toys_1.mp4
26,Steven wants three cheap desks_1.mp4
27,Kathy gives eight large spoons_1.mp4
28,Allen sees twelve large chairs_1.mp4
29,Steven sold twelve large toys_1.mp4
30,Thomas has three white desks_1.mp4
31,William prefers sixty small sofas_1.mp4
32,Doris sold nine cheap houses_1.mp4
33,Lucy has nineteen white chairs_1.mp4
34,Steven sold nine pretty windows_1.mp4
35,Peter ordered two dark sofas_1.mp4
36,Doris wants twelve cheap toys_1.mp4
37,Steven ordered seven cheap windows_1.mp4
38,Steven sees eight green sofas_1.mp4
39,William ordered two old desks_1.mp4
40,Lucy prefers four large flowers_1.mp4
41,Doris kept twelve small houses_1.mp4
42,Allen got sixty old desks_1.mp4
43,Lucy sold twelve cheap spoons_1.mp4
44,Doris has seven green tables_1.mp4
45,Peter wants two white chairs_1.mp4
46,Rachel got sixty pretty flowers_1.mp4
47,Peter ordered nine heavy desks_1.mp4
