,0
0,Thomas ordered nine dark flowers_1.mp4
1,Kathy wants fifteen green windows_1.mp4
2,Allen kept twelve white tables_1.mp4
3,Peter got sixty red spoons_1.mp4
4,Peter has twelve old flowers_1.mp4
5,Rachel ordered twelve cheap tables_1.mp4
6,Rachel sold three red houses_1.mp4
7,Steven bought nine heavy toys_1.mp4
8,Peter ordered two dark tables_1.mp4
9,Allen prefers four small sofas_1.mp4
10,Rachel got eight white desks_1.mp4
11,Lucy sold fifteen cheap spoons_1.mp4
12,Allen wants three pretty chairs_1.mp4
13,Allen kept seven red houses_1.mp4
14,Peter bought three cheap rings_1.mp4
15,Steven has four heavy chairs_1.mp4
16,Allen wants nineteen white desks_1.mp4
17,William ordered nine dark windows_1.mp4
18,William sold nine old desks_1.mp4
19,Doris got four red toys_1.mp4
20,Allen gives seven green flowers_1.mp4
21,Nina kept twelve pretty tables_1.mp4
22,Lucy got fifteen cheap chairs_1.mp4
23,Peter sold four large flowers_1.mp4
24,Nina wants three heavy windows_1.mp4
25,Thomas prefers nine dark rings_1.mp4
26,Nina ordered nine heavy tables_1.mp4
27,Rachel bought eight dark windows_1.mp4
28,Doris got three old toys_1.mp4
29,William sold sixty large desks_1.mp4
30,Peter gives sixty large tables_1.mp4
31,Allen wants eight green toys_1.mp4
32,Rachel prefers three pretty spoons_1.mp4
33,Doris kept twelve small houses_1.mp4
34,Peter gives eight red houses_1.mp4
35,Nina sold twelve old windows_1.mp4
36,Steven got three large chairs_1.mp4
37,Allen sees four green houses_1.mp4
38,Allen ordered three dark spoons_1.mp4
39,Peter got three small windows_1.mp4
40,Kathy bought eight green flowers_1.mp4
41,Rachel sold fifteen old rings_1.mp4
42,Steven sees nineteen dark sofas_1.mp4
43,Thomas sees fifteen cheap windows_1.mp4
44,Lucy got seven large rings_1.mp4
45,Kathy ordered three cheap spoons_1.mp4
46,Steven ordered seven small houses_1.mp4
47,Nina prefers three red spoons_1.mp4
