,0
0,Rachel bought eight white rings_1.mp4
1,Nina ordered nine heavy tables_1.mp4
2,Nina has fifteen white spoons_1.mp4
3,Allen sees four green houses_1.mp4
4,Rachel bought two large desks_1.mp4
5,Thomas got eight red windows_1.mp4
6,Thomas got twelve small toys_1.mp4
7,Steven wants fifteen heavy tables_1.mp4
8,Rachel kept eight large sofas_1.mp4
9,Nina sees nineteen green houses_1.mp4
10,William ordered nine dark windows_1.mp4
11,Peter has four large toys_1.mp4
12,Rachel prefers twelve red desks_1.mp4
13,Nina has fifteen white spoons_1.mp4
14,Thomas got three dark windows_1.mp4
15,Peter bought nineteen pretty rings_1.mp4
16,Allen kept twelve white tables_1.mp4
17,Allen wants nineteen white desks_1.mp4
18,Thomas sold fifteen white spoons_1.mp4
19,Thomas kept fifteen dark windows_1.mp4
20,Allen prefers two red tables_1.mp4
21,Doris sold nineteen green desks_1.mp4
22,William wants sixty pretty chairs_1.mp4
23,Doris sees sixty pretty desks_1.mp4
24,Thomas got twelve heavy windows_1.mp4
25,Allen sees fifteen red tables_1.mp4
26,Kathy gives nine old chairs_1.mp4
27,Peter got three green desks_1.mp4
28,Peter has nineteen white windows_1.mp4
29,William kept nine large rings_1.mp4
30,Lucy got three green spoons_1.mp4
31,Steven sold fifteen pretty houses_1.mp4
32,Allen prefers four heavy flowers_1.mp4
33,Nina wants nine cheap flowers_1.mp4
34,Lucy wants three cheap flowers_1.mp4
35,Kathy wants fifteen cheap desks_1.mp4
36,Allen kept eight red toys_1.mp4
37,William ordered nine dark windows_1.mp4
38,Nina kept four large tables_1.mp4
39,Kathy wants fifteen green tables_1.mp4
40,Allen sees twelve large chairs_1.mp4
41,Peter got nineteen heavy windows_1.mp4
42,Doris has four old sofas_1.mp4
43,Peter ordered eight green flowers_1.mp4
44,Rachel sold seven old tables_1.mp4
45,Nina sold fifteen old flowers_1.mp4
46,Allen sold seven old spoons_1.mp4
47,Doris ordered two cheap sofas_1.mp4
