,0
0,Doris sold seven dark windows_1.mp4
1,Kathy prefers eight heavy houses_1.mp4
2,William kept two small chairs_1.mp4
3,Allen prefers three red sofas_1.mp4
4,Allen kept nineteen heavy toys_1.mp4
5,Steven sees seven pretty spoons_1.mp4
6,Lucy ordered two cheap flowers_1.mp4
7,Peter ordered nineteen green desks_1.mp4
8,Steven kept four large tables_1.mp4
9,Thomas wants three small rings_1.mp4
10,Nina wants seven cheap chairs_1.mp4
11,Steven ordered three cheap tables_1.mp4
12,Kathy got twelve white windows_1.mp4
13,Lucy ordered two cheap flowers_1.mp4
14,Nina prefers nineteen small houses_1.mp4
15,Thomas got eight green rings_1.mp4
16,Peter sees sixty red toys_1.mp4
17,Nina wants two green desks_1.mp4
18,Lucy got three dark spoons_1.mp4
19,Thomas prefers fifteen pretty rings_1.mp4
20,William gives twelve heavy flowers_1.mp4
21,Lucy ordered nineteen large flowers_1.mp4
22,Doris got two heavy houses_1.mp4
23,Lucy ordered two large desks_1.mp4
24,Rachel sees nine green windows_1.mp4
25,Doris kept three large tables_1.mp4
26,William bought sixty red desks_1.mp4
27,Kathy kept twelve old chairs_1.mp4
28,William ordered sixty cheap houses_1.mp4
29,Peter got three dark spoons_1.mp4
30,Thomas gives eight large tables_1.mp4
31,Steven sold nine small desks_1.mp4
32,Nina ordered four large spoons_1.mp4
33,Kathy bought four large toys_1.mp4
34,Nina got twelve pretty flowers_1.mp4
35,Peter prefers eight heavy windows_1.mp4
36,Allen ordered fifteen white chairs_1.mp4
37,Doris kept sixty dark rings_1.mp4
38,Rachel sees seven heavy chairs_1.mp4
39,Thomas gives nineteen small chairs_1.mp4
40,Allen kept three old flowers_1.mp4
41,William got nine red windows_1.mp4
42,Nina wants eight pretty rings_1.mp4
43,Rachel prefers four white toys_1.mp4
44,Allen got seven heavy desks_1.mp4
45,Lucy wants two red sofas_1.mp4
46,William got twelve large spoons_1.mp4
47,Peter sees eight large flowers_1.mp4
