,0
0,Nina wants three heavy flowers_1.mp4
1,Allen gives fifteen old desks_1.mp4
2,Peter wants seven white spoons_1.mp4
3,Allen prefers four heavy flowers_1.mp4
4,Thomas gives sixty green tables_1.mp4
5,Nina wants two small chairs_1.mp4
6,Rachel sold three red windows_1.mp4
7,Kathy bought three red toys_1.mp4
8,Rachel got sixty pretty flowers_1.mp4
9,Steven has four heavy chairs_1.mp4
10,Kathy gives twelve cheap tables_1.mp4
11,Allen sold seven old spoons_1.mp4
12,Peter got sixty small chairs_1.mp4
13,Steven got seven green flowers_1.mp4
14,Thomas has twelve heavy sofas_1.mp4
15,Nina got three old houses_1.mp4
16,Allen bought nineteen pretty sofas_1.mp4
17,Peter wants two white chairs_1.mp4
18,Peter has twelve old flowers_1.mp4
19,Lucy prefers three dark houses_1.mp4
20,Doris gives two large sofas_1.mp4
21,Thomas wants four pretty rings_1.mp4
22,Rachel got eight small houses_1.mp4
23,Steven sees nineteen dark sofas_1.mp4
24,Peter kept three white desks_1.mp4
25,Steven got seven green chairs_1.mp4
26,Rachel has nineteen white desks_1.mp4
27,Kathy gives seven old desks_1.mp4
28,Peter ordered three red houses_1.mp4
29,Thomas prefers nineteen small toys_1.mp4
30,Nina wants nine cheap flowers_1.mp4
31,Peter ordered three red houses_1.mp4
32,Peter got sixty small chairs_1.mp4
33,William ordered nine dark windows_1.mp4
34,Peter kept three white desks_1.mp4
35,Allen sold seven old spoons_1.mp4
36,Nina sold fifteen old flowers_1.mp4
37,Peter has fifteen white windows_1.mp4
38,Peter gives four green sofas_1.mp4
39,Steven sold twelve large desks_1.mp4
40,Nina ordered nine white houses_1.mp4
41,Doris got three old toys_1.mp4
42,Kathy wants eight dark flowers_1.mp4
43,William kept two red windows_1.mp4
44,Doris got seven cheap desks_1.mp4
45,William prefers three large desks_1.mp4
46,Thomas wants three cheap spoons_1.mp4
47,Lucy sold nine old chairs_1.mp4
