,0
0,Kathy got seven large chairs_1.mp4
1,Rachel ordered twelve cheap tables_1.mp4
2,Peter kept three white desks_1.mp4
3,Steven wants three cheap desks_1.mp4
4,Allen bought nineteen large chairs_1.mp4
5,Peter wants three green spoons_1.mp4
6,Nina sees nineteen old chairs_1.mp4
7,William gives nineteen small sofas_1.mp4
8,Kathy sees four old toys_1.mp4
9,Allen wants fifteen large houses_1.mp4
10,William prefers sixty small sofas_1.mp4
11,Lucy kept two green chairs_1.mp4
12,William has seven white tables_1.mp4
13,Lucy has nineteen white chairs_1.mp4
14,Peter gives sixty pretty rings_1.mp4
15,Nina ordered nine white houses_1.mp4
16,Lucy wants nine large toys_1.mp4
17,Doris got seven old windows_1.mp4
18,Kathy gives eight large spoons_1.mp4
19,Doris kept nineteen cheap spoons_1.mp4
20,Steven sold twelve large toys_1.mp4
21,Kathy gives seven old desks_1.mp4
22,Allen prefers four heavy flowers_1.mp4
23,Nina sold four heavy rings_1.mp4
24,Rachel kept eight large sofas_1.mp4
25,William ordered nine dark windows_1.mp4
26,Allen prefers two red tables_1.mp4
27,Lucy sold twelve cheap spoons_1.mp4
28,Thomas prefers nine cheap spoons_1.mp4
29,William prefers sixty small sofas_1.mp4
30,Nina sold two small houses_1.mp4
31,Thomas bought sixty white spoons_1.mp4
32,Peter has fifteen dark flowers_1.mp4
33,Allen kept eight red toys_1.mp4
34,Nina ordered nine white houses_1.mp4
35,Kathy got seven large chairs_1.mp4
36,Allen gives fifteen old desks_1.mp4
37,Allen sold twelve dark desks_1.mp4
38,Thomas prefers nineteen white spoons_1.mp4
39,William has nine small flowers_1.mp4
40,Steven got seven green desks_1.mp4
41,Allen prefers two red tables_1.mp4
42,Doris ordered two cheap sofas_1.mp4
43,Peter has twelve old flowers_1.mp4
44,Steven kept nine small spoons_1.mp4
45,Thomas gives sixty green tables_1.mp4
46,Steven kept three old rings_1.mp4
47,Rachel ordered four pretty spoons_1.mp4
48,Thomas got twelve small toys_1.mp4
49,Allen has sixty large windows_1.mp4
50,Peter gives eight red houses_1.mp4
51,Thomas sold fifteen white spoons_1.mp4
52,Doris ordered two cheap sofas_1.mp4
53,Nina kept four large tables_1.mp4
54,Thomas prefers nine dark rings_1.mp4
55,Rachel got sixty pretty flowers_1.mp4
56,Peter gives twelve small desks_1.mp4
57,Nina sold four heavy rings_1.mp4
58,Thomas ordered two dark desks_1.mp4
59,Peter ordered nine old windows_1.mp4
