,0
0,Kathy has eight red flowers_1.mp4
1,Rachel ordered four pretty spoons_1.mp4
2,Lucy sold twelve cheap spoons_1.mp4
3,Peter kept three large chairs_1.mp4
4,William ordered nineteen old toys_1.mp4
5,Peter got four green desks_1.mp4
6,Steven gives fifteen white toys_1.mp4
7,Thomas got twelve heavy windows_1.mp4
8,Rachel ordered four pretty spoons_1.mp4
9,Steven gives fifteen white toys_1.mp4
10,Nina sold two heavy desks_1.mp4
11,Peter got nineteen heavy windows_1.mp4
12,Kathy ordered three cheap spoons_1.mp4
13,Thomas ordered three old houses_1.mp4
14,William gives nineteen dark rings_1.mp4
15,Lucy has two small flowers_1.mp4
16,Peter got four pretty houses_1.mp4
17,Allen sees three small rings_1.mp4
18,Peter got fifteen cheap rings_1.mp4
19,Peter got four pretty houses_1.mp4
20,Thomas sold fifteen white spoons_1.mp4
21,Rachel bought two large desks_1.mp4
22,Steven ordered seven small houses_1.mp4
23,Nina got twelve white toys_1.mp4
24,Steven ordered two dark spoons_1.mp4
25,Rachel ordered four pretty spoons_1.mp4
26,Steven prefers four large houses_1.mp4
27,Thomas got twelve small toys_1.mp4
28,Rachel has twelve old tables_1.mp4
29,Thomas wants seven green toys_1.mp4
30,Nina has sixty green desks_1.mp4
31,Kathy sold twelve green chairs_1.mp4
32,Allen sees four dark toys_1.mp4
33,Steven ordered sixty pretty desks_1.mp4
34,Steven got seven green flowers_1.mp4
35,Lucy got three red desks_1.mp4
36,Nina kept four large tables_1.mp4
37,Rachel wants fifteen red windows_1.mp4
38,Steven sold three red desks_1.mp4
39,Peter gives four green sofas_1.mp4
40,Peter kept two red desks_1.mp4
41,Lucy kept two old rings_1.mp4
42,Peter has fifteen green rings_1.mp4
43,Lucy got fifteen small flowers_1.mp4
44,Peter ordered fifteen green tables_1.mp4
45,Allen ordered three dark spoons_1.mp4
46,Allen sold four red flowers_1.mp4
47,Allen bought nineteen pretty sofas_1.mp4
